L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,467,C,1,R,7,Y,1,K,1,S,7,X,1,K,20,R,7,Y,1,X,1,K,1,S,7,C,1,"L1:[sp=X,467] C=1,R=7,Y=1,K=1,S=7,X=1 || L2:[sp=K,20] R=7,Y=1,X=1,K=1,S=7,C=1",-10464001.0,-289041.0,1,X|K,1
K,48,S,7,R,7,Y,1,X,1,K,1,C,1,C,1,C,1,X,1,S,7,K,1,R,7,Y,1,"L1:[sp=K,48] S=7,R=7,Y=1,X=1,K=1,C=1 || L2:[sp=C,1] C=1,X=1,S=7,K=1,R=7,Y=1",-7128601.0,-1344880.0,1,K|C,1
C,28,R,7,C,2,X,189,Y,3,S,7,K,55,Y,3,C,1,Y,1,R,7,K,1,X,1,S,7,"L1:[sp=C,28] R=7,C=2,X=189,Y=3,S=7,K=55 || L2:[sp=Y,3] C=1,Y=1,R=7,K=1,X=1,S=7",-99812901.0,-19917.2,1,C|Y,1
Y,434,C,1,S,7,X,17,K,53,Y,190,R,7,Y,119,S,7,C,1,K,1,Y,1,R,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=17,K=53,Y=190,R=7 || L2:[sp=Y,119] S=7,C=1,K=1,Y=1,R=7,X=1",-4101967.0,-40861.0,1,Y|Y,1
C,802,Y,55,R,7,C,1,S,7,X,156,K,47,K,24,K,1,X,1,Y,1,C,1,S,7,R,7,"L1:[sp=C,802] Y=55,R=7,C=1,S=7,X=156,K=47 || L2:[sp=K,24] K=1,X=1,Y=1,C=1,S=7,R=7",-6986045.0,-14838.9,1,C|K,1
Y,332,R,7,K,44,C,3,Y,196,S,7,X,219,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=Y,332] R=7,K=44,C=3,Y=196,S=7,X=219 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-86439.0,-694.992,1,Y|K,1
C,606,S,7,Y,117,X,114,R,7,K,52,C,2,X,10,S,7,R,7,X,1,Y,1,C,1,K,1,"L1:[sp=C,606] S=7,Y=117,X=114,R=7,K=52,C=2 || L2:[sp=X,10] S=7,R=7,X=1,Y=1,C=1,K=1",-31447817.0,-14606.0,1,C|X,1
K,659,K,40,S,7,R,7,X,161,C,1,Y,36,C,1,C,1,Y,1,R,7,X,1,K,1,S,7,"L1:[sp=K,659] K=40,S=7,R=7,X=161,C=1,Y=36 || L2:[sp=C,1] C=1,Y=1,R=7,X=1,K=1,S=7",-279441163.0,-40914.3,1,K|C,1
X,164,Y,127,R,7,C,2,X,205,S,7,K,33,K,26,X,1,C,1,R,7,Y,1,S,7,K,1,"L1:[sp=X,164] Y=127,R=7,C=2,X=205,S=7,K=33 || L2:[sp=K,26] X=1,C=1,R=7,Y=1,S=7,K=1",-26277729.0,-27845.8,1,X|K,1
C,576,Y,124,X,55,C,1,K,62,R,7,S,7,X,46,R,7,Y,1,C,1,S,7,X,1,K,1,"L1:[sp=C,576] Y=124,X=55,C=1,K=62,R=7,S=7 || L2:[sp=X,46] R=7,Y=1,C=1,S=7,X=1,K=1",-5469201.0,-14591.3,1,C|X,1
X,643,K,40,C,2,S,7,Y,3,X,206,R,7,X,39,C,1,S,7,X,1,R,7,K,1,Y,1,"L1:[sp=X,643] K=40,C=2,S=7,Y=3,X=206,R=7 || L2:[sp=X,39] C=1,S=7,X=1,R=7,K=1,Y=1",-12305957.0,-28498.1,1,X|X,1
X,704,K,10,Y,73,S,7,R,7,X,162,C,3,Y,9,X,1,K,1,R,7,S,7,Y,1,C,1,"L1:[sp=X,704] K=10,Y=73,S=7,R=7,X=162,C=3 || L2:[sp=Y,9] X=1,K=1,R=7,S=7,Y=1,C=1",-57915670.0,-16920.3,1,X|Y,1
K,222,K,14,Y,214,R,7,X,209,C,2,S,7,K,1,K,1,S,7,C,1,X,1,R,7,Y,1,"L1:[sp=K,222] K=14,Y=214,R=7,X=209,C=2,S=7 || L2:[sp=K,1] K=1,S=7,C=1,X=1,R=7,Y=1",-97804401.0,-30095.5,1,K|K,1
