L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,706,Y,55,S,3,K,33,X,55,R,3,C,19,C,19,Y,55,K,1,X,17,C,1,R,3,S,3,"L1:[sp=C,706] Y=55,S=3,K=33,X=55,R=3,C=19 || L2:[sp=C,19] Y=55,K=1,X=17,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,Y,55,S,3,K,33,X,55,R,3,C,19,C,19,Y,55,K,1,X,51,C,1,R,3,S,3,"L1:[sp=C,706] Y=55,S=3,K=33,X=55,R=3,C=19 || L2:[sp=C,19] Y=55,K=1,X=51,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,C,19,S,3,K,33,X,55,R,3,Y,55,C,19,Y,55,K,1,X,51,C,1,R,3,S,3,"L1:[sp=C,706] C=19,S=3,K=33,X=55,R=3,Y=55 || L2:[sp=C,19] Y=55,K=1,X=51,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,C,19,S,3,K,33,X,55,R,3,Y,55,C,19,Y,55,K,1,X,17,C,1,R,3,S,3,"L1:[sp=C,706] C=19,S=3,K=33,X=55,R=3,Y=55 || L2:[sp=C,19] Y=55,K=1,X=17,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,Y,55,S,3,K,33,X,55,R,3,C,17,C,19,Y,55,K,1,X,17,C,1,R,3,S,3,"L1:[sp=C,706] Y=55,S=3,K=33,X=55,R=3,C=17 || L2:[sp=C,19] Y=55,K=1,X=17,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,X,55,S,3,K,33,R,3,C,14,Y,55,C,7,C,3,S,3,Y,55,R,3,K,1,X,1,"L1:[sp=C,706] X=55,S=3,K=33,R=3,C=14,Y=55 || L2:[sp=C,7] C=3,S=3,Y=55,R=3,K=1,X=1",-11.0,-1180.13,1,C|C,2
C,706,K,33,S,3,Y,55,X,55,R,3,C,19,C,19,Y,55,K,1,X,17,C,1,R,3,S,3,"L1:[sp=C,706] K=33,S=3,Y=55,X=55,R=3,C=19 || L2:[sp=C,19] Y=55,K=1,X=17,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,Y,55,R,3,K,33,X,55,S,3,C,19,C,19,Y,55,K,1,X,17,C,1,R,3,S,3,"L1:[sp=C,706] Y=55,R=3,K=33,X=55,S=3,C=19 || L2:[sp=C,19] Y=55,K=1,X=17,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,Y,55,S,3,K,33,X,55,R,3,C,19,C,19,Y,55,K,1,X,3,C,1,R,3,S,3,"L1:[sp=C,706] Y=55,S=3,K=33,X=55,R=3,C=19 || L2:[sp=C,19] Y=55,K=1,X=3,C=1,R=3,S=3",-11.0,-1180.13,1,C|C,2
C,706,K,33,S,3,Y,55,X,55,R,3,C,6,C,19,Y,55,K,1,X,1,C,3,R,3,S,3,"L1:[sp=C,706] K=33,S=3,Y=55,X=55,R=3,C=6 || L2:[sp=C,19] Y=55,K=1,X=1,C=3,R=3,S=3",-11.0,-1180.13,1,C|C,2
