L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,982,S,7,Y,1,X,111,C,2,K,48,R,7,X,18,Y,1,R,7,S,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,X=111,C=2,K=48,R=7 || L2:[sp=X,18] Y=1,R=7,S=7,C=1,K=41,X=1",-420453.0,-33339.0,1,Y|X,1
Y,982,S,7,Y,1,X,111,C,2,K,50,R,7,X,18,Y,1,R,7,S,7,C,1,K,21,X,1,"L1:[sp=Y,982] S=7,Y=1,X=111,C=2,K=50,R=7 || L2:[sp=X,18] Y=1,R=7,S=7,C=1,K=21,X=1",-443385.0,-33360.0,1,Y|X,1
Y,982,S,7,Y,1,X,71,C,2,K,50,R,7,X,18,Y,1,S,7,R,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,X=71,C=2,K=50,R=7 || L2:[sp=X,18] Y=1,S=7,R=7,C=1,K=41,X=1",-451061.0,-35796.7,1,Y|X,1
Y,982,S,7,Y,1,X,71,C,2,K,50,R,7,X,18,Y,1,S,7,R,7,C,1,K,17,X,1,"L1:[sp=Y,982] S=7,Y=1,X=71,C=2,K=50,R=7 || L2:[sp=X,18] Y=1,S=7,R=7,C=1,K=17,X=1",-504569.0,-35796.7,1,Y|X,1
Y,982,S,7,Y,1,C,2,K,48,X,144,R,7,X,96,Y,1,S,7,R,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,C=2,K=48,X=144,R=7 || L2:[sp=X,96] Y=1,S=7,R=7,C=1,K=41,X=1",-533787.0,-39514.6,1,Y|X,1
Y,982,S,7,Y,1,C,2,K,49,X,144,R,7,X,96,Y,1,S,7,R,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,C=2,K=49,X=144,R=7 || L2:[sp=X,96] Y=1,S=7,R=7,C=1,K=41,X=1",-553191.0,-39542.7,1,Y|X,1
Y,982,S,7,Y,1,C,2,X,144,K,50,R,7,X,96,Y,1,R,7,S,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,C=2,X=144,K=50,R=7 || L2:[sp=X,96] Y=1,R=7,S=7,C=1,K=41,X=1",-572595.0,-36731.3,1,Y|X,1
Y,982,S,7,Y,1,C,2,X,144,K,50,R,7,X,96,Y,1,S,7,R,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,C=2,X=144,K=50,R=7 || L2:[sp=X,96] Y=1,S=7,R=7,C=1,K=41,X=1",-572595.0,-36731.3,1,Y|X,1
Y,982,R,7,Y,1,C,2,X,144,K,50,S,7,X,96,Y,1,R,7,S,7,C,1,K,41,X,1,"L1:[sp=Y,982] R=7,Y=1,C=2,X=144,K=50,S=7 || L2:[sp=X,96] Y=1,R=7,S=7,C=1,K=41,X=1",-572595.0,-36731.3,1,Y|X,1
Y,982,S,7,Y,1,C,2,X,163,K,50,R,7,X,96,Y,1,S,7,R,7,C,1,K,41,X,1,"L1:[sp=Y,982] S=7,Y=1,C=2,X=163,K=50,R=7 || L2:[sp=X,96] Y=1,S=7,R=7,C=1,K=41,X=1",-572595.0,-37724.2,1,Y|X,1
