L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,33,R,1,C,1,K,1,Y,1,X,1,S,1,X,4,C,1,K,1,Y,1,S,1,R,1,X,1,"L1:[sp=X,33] R=1,C=1,K=1,Y=1,X=1,S=1 || L2:[sp=X,4] C=1,K=1,Y=1,S=1,R=1,X=1",-4644865.0,-163323000.0,1,X|X,1
K,37,C,1,S,1,Y,1,K,1,X,1,R,1,K,13,Y,1,K,1,X,1,R,1,S,1,C,1,"L1:[sp=K,37] C=1,S=1,Y=1,K=1,X=1,R=1 || L2:[sp=K,13] Y=1,K=1,X=1,R=1,S=1,C=1",-16257025.0,-163323000.0,1,K|K,1
K,34,R,2,K,31,X,59,Y,70,S,2,C,1,X,34,X,1,R,1,K,1,Y,1,C,1,S,1,"L1:[sp=K,34] R=2,K=31,X=59,Y=70,S=2,C=1 || L2:[sp=X,34] X=1,R=1,K=1,Y=1,C=1,S=1",-inf,-inf,0,K|X,1
K,81,R,1,C,1,Y,93,S,2,X,78,K,56,Y,91,Y,1,X,1,K,1,C,1,R,1,S,1,"L1:[sp=K,81] R=1,C=1,Y=93,S=2,X=78,K=56 || L2:[sp=Y,91] Y=1,X=1,K=1,C=1,R=1,S=1",-inf,-inf,0,K|Y,1
K,46,C,2,R,2,S,1,Y,189,X,27,K,27,Y,3,X,1,R,1,S,1,C,1,K,1,Y,1,"L1:[sp=K,46] C=2,R=2,S=1,Y=189,X=27,K=27 || L2:[sp=Y,3] X=1,R=1,S=1,C=1,K=1,Y=1",-inf,-inf,0,K|Y,1
K,28,Y,218,X,112,S,2,C,1,K,49,R,3,X,95,C,1,Y,1,S,1,X,1,K,1,R,1,"L1:[sp=K,28] Y=218,X=112,S=2,C=1,K=49,R=3 || L2:[sp=X,95] C=1,Y=1,S=1,X=1,K=1,R=1",-inf,-inf,0,K|X,1
K,32,S,3,C,2,X,8,Y,212,R,3,K,20,C,1,X,1,C,1,S,1,K,1,R,1,Y,1,"L1:[sp=K,32] S=3,C=2,X=8,Y=212,R=3,K=20 || L2:[sp=C,1] X=1,C=1,S=1,K=1,R=1,Y=1",-inf,-inf,0,K|C,1
K,18,Y,144,K,35,C,2,S,2,X,155,R,1,Y,112,C,1,S,1,X,1,Y,1,K,1,R,1,"L1:[sp=K,18] Y=144,K=35,C=2,S=2,X=155,R=1 || L2:[sp=Y,112] C=1,S=1,X=1,Y=1,K=1,R=1",-inf,-inf,0,K|Y,1
X,49,X,72,C,3,R,2,S,3,K,14,Y,175,Y,124,Y,1,R,1,K,1,C,1,X,1,S,1,"L1:[sp=X,49] X=72,C=3,R=2,S=3,K=14,Y=175 || L2:[sp=Y,124] Y=1,R=1,K=1,C=1,X=1,S=1",-inf,-inf,0,X|Y,1
Y,107,C,2,Y,148,X,88,K,56,S,2,R,1,K,40,Y,1,R,1,K,1,X,1,S,1,C,1,"L1:[sp=Y,107] C=2,Y=148,X=88,K=56,S=2,R=1 || L2:[sp=K,40] Y=1,R=1,K=1,X=1,S=1,C=1",-inf,-inf,0,Y|K,1
K,28,X,78,R,3,C,1,S,1,K,12,Y,96,C,1,K,1,X,1,Y,1,R,1,S,1,C,1,"L1:[sp=K,28] X=78,R=3,C=1,S=1,K=12,Y=96 || L2:[sp=C,1] K=1,X=1,Y=1,R=1,S=1,C=1",-inf,-inf,0,K|C,1
Y,65,R,3,K,5,X,195,Y,5,S,2,C,2,Y,4,X,1,Y,1,C,1,K,1,S,1,R,1,"L1:[sp=Y,65] R=3,K=5,X=195,Y=5,S=2,C=2 || L2:[sp=Y,4] X=1,Y=1,C=1,K=1,S=1,R=1",-inf,-inf,0,Y|Y,1
Y,75,K,13,X,71,S,1,Y,73,R,1,C,1,X,55,S,1,Y,1,K,1,C,1,X,1,R,1,"L1:[sp=Y,75] K=13,X=71,S=1,Y=73,R=1,C=1 || L2:[sp=X,55] S=1,Y=1,K=1,C=1,X=1,R=1",-inf,-inf,0,Y|X,1
X,1,K,29,Y,33,R,3,X,127,S,1,C,3,C,1,X,1,C,1,Y,1,S,1,R,1,K,1,"L1:[sp=X,1] K=29,Y=33,R=3,X=127,S=1,C=3 || L2:[sp=C,1] X=1,C=1,Y=1,S=1,R=1,K=1",-inf,-inf,0,X|C,1
K,98,K,15,S,2,X,67,Y,9,R,2,C,3,K,13,C,1,K,1,Y,1,X,1,S,1,R,1,"L1:[sp=K,98] K=15,S=2,X=67,Y=9,R=2,C=3 || L2:[sp=K,13] C=1,K=1,Y=1,X=1,S=1,R=1",-3040385.0,-163323000.0,1,K|K,1
X,75,C,1,S,2,X,153,Y,109,K,60,R,3,K,39,K,1,Y,1,X,1,R,1,C,1,S,1,"L1:[sp=X,75] C=1,S=2,X=153,Y=109,K=60,R=3 || L2:[sp=K,39] K=1,Y=1,X=1,R=1,C=1,S=1",-inf,-inf,0,X|K,1
X,54,C,1,Y,209,S,2,R,2,K,29,X,82,K,8,Y,1,X,1,K,1,R,1,S,1,C,1,"L1:[sp=X,54] C=1,Y=209,S=2,R=2,K=29,X=82 || L2:[sp=K,8] Y=1,X=1,K=1,R=1,S=1,C=1",-inf,-inf,0,X|K,1
K,41,K,28,S,2,X,17,C,3,R,3,Y,92,X,9,S,1,R,1,X,1,Y,1,K,1,C,1,"L1:[sp=K,41] K=28,S=2,X=17,C=3,R=3,Y=92 || L2:[sp=X,9] S=1,R=1,X=1,Y=1,K=1,C=1",-inf,-inf,0,K|X,1
Y,113,Y,186,C,3,S,2,K,63,R,1,X,55,Y,166,S,1,X,1,R,1,C,1,Y,1,K,1,"L1:[sp=Y,113] Y=186,C=3,S=2,K=63,R=1,X=55 || L2:[sp=Y,166] S=1,X=1,R=1,C=1,Y=1,K=1",-inf,-inf,0,Y|Y,1
K,81,X,81,S,2,K,61,R,3,Y,20,C,1,X,36,C,1,S,1,R,1,K,1,Y,1,X,1,"L1:[sp=K,81] X=81,S=2,K=61,R=3,Y=20,C=1 || L2:[sp=X,36] C=1,S=1,R=1,K=1,Y=1,X=1",-inf,-inf,0,K|X,1
K,98,K,15,S,2,X,67,Y,9,R,2,C,3,K,13,C,1,K,1,Y,1,X,1,S,1,R,1,"L1:[sp=K,98] K=15,S=2,X=67,Y=9,R=2,C=3 || L2:[sp=K,13] C=1,K=1,Y=1,X=1,S=1,R=1",-3040385.0,-163323000.0,1,K|K,1
K,98,K,15,Y,1,X,1,S,1,R,1,C,1,K,13,C,1,K,1,Y,1,X,1,S,1,R,1,"L1:[sp=K,98] K=15,Y=1,X=1,S=1,R=1,C=1 || L2:[sp=K,13] C=1,K=1,Y=1,X=1,S=1,R=1",-4064257.0,-163323000.0,1,K|K,1
K,33,R,2,C,3,K,1,Y,9,X,67,S,2,X,4,S,2,K,1,Y,1,C,1,R,1,X,1,"L1:[sp=K,33] R=2,C=3,K=1,Y=9,X=67,S=2 || L2:[sp=X,4] S=2,K=1,Y=1,C=1,R=1,X=1",-1018593.0,-163323000.0,1,K|X,1
X,33,R,1,C,1,K,1,Y,1,X,142,S,1,Y,1,C,1,K,1,Y,1,S,1,R,1,X,1,"L1:[sp=X,33] R=1,C=1,K=1,Y=1,X=142,S=1 || L2:[sp=Y,1] C=1,K=1,Y=1,S=1,R=1,X=1",-55351297.0,-163323000.0,1,X|Y,1
