L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,531,X,4,Y,129,S,1,K,38,R,1,C,3,Y,129,R,1,C,1,Y,1,K,36,S,1,X,3,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=3 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=3",-377889.0,-675698.0,1,X|Y,1
X,531,X,4,Y,129,S,1,K,38,R,1,C,3,Y,129,R,1,C,2,Y,1,K,36,S,1,X,3,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=3 || L2:[sp=Y,129] R=1,C=2,Y=1,K=36,S=1,X=3",-377889.0,-675698.0,1,X|Y,1
X,531,S,1,Y,129,X,4,K,38,R,1,C,3,Y,129,K,36,C,1,Y,1,R,1,S,1,X,3,"L1:[sp=X,531] S=1,Y=129,X=4,K=38,R=1,C=3 || L2:[sp=Y,129] K=36,C=1,Y=1,R=1,S=1,X=3",-377889.0,-679828.0,1,X|Y,1
X,531,R,1,Y,129,X,4,K,38,S,1,C,3,Y,129,R,1,C,2,Y,1,K,36,S,1,X,3,"L1:[sp=X,531] R=1,Y=129,X=4,K=38,S=1,C=3 || L2:[sp=Y,129] R=1,C=2,Y=1,K=36,S=1,X=3",-377889.0,-679828.0,1,X|Y,1
X,531,X,4,Y,129,S,1,K,38,R,1,C,3,Y,129,R,1,C,1,Y,1,K,36,S,1,X,1,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=3 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=1",-377889.0,-675698.0,1,X|Y,1
X,531,X,4,Y,129,S,1,K,38,R,1,C,3,Y,129,R,1,C,1,Y,1,K,36,S,1,X,4,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=3 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=4",-377889.0,-675698.0,1,X|Y,1
X,531,C,3,Y,129,S,1,K,38,R,1,X,4,Y,129,C,1,Y,1,R,1,K,36,S,1,X,3,"L1:[sp=X,531] C=3,Y=129,S=1,K=38,R=1,X=4 || L2:[sp=Y,129] C=1,Y=1,R=1,K=36,S=1,X=3",-377889.0,-738021.0,1,X|Y,1
X,531,X,4,Y,129,R,1,K,38,S,1,C,3,Y,129,R,1,C,1,Y,1,K,36,S,1,X,3,"L1:[sp=X,531] X=4,Y=129,R=1,K=38,S=1,C=3 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=3",-377889.0,-675698.0,1,X|Y,1
X,531,X,4,Y,129,S,1,K,38,R,1,C,2,Y,129,R,1,C,1,Y,1,K,36,S,1,X,3,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=2 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=3",-379457.0,-1397710.0,1,X|Y,1
X,531,X,4,Y,129,S,1,K,38,R,1,C,1,Y,129,R,1,C,1,Y,1,K,36,S,1,X,1,"L1:[sp=X,531] X=4,Y=129,S=1,K=38,R=1,C=1 || L2:[sp=Y,129] R=1,C=1,Y=1,K=36,S=1,X=1",-381025.0,-2070720.0,1,X|Y,1
