L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,S,2,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,K,1,S,2,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] K=1,S=2,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,R,7,S,7,X,222,K,64,C,1,Y,223,K,56,S,2,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] R=7,S=7,X=222,K=64,C=1,Y=223 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,S,2,K,1,Y,1,C,1,R,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,K=1,Y=1,C=1,R=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,S,2,Y,1,X,1,R,7,C,1,K,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,Y=1,X=1,R=7,C=1,K=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,S,2,X,1,Y,1,R,7,C,1,K,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,X=1,Y=1,R=7,C=1,K=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,32,S,2,K,1,Y,1,R,7,C,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,32] S=2,K=1,Y=1,R=7,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,R,7,X,222,K,64,S,7,Y,223,K,32,S,2,K,1,Y,1,R,7,C,1,X,1,"L1:[sp=C,161] C=1,R=7,X=222,K=64,S=7,Y=223 || L2:[sp=K,32] S=2,K=1,Y=1,R=7,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,Y,223,R,7,K,64,K,56,S,2,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,Y=223,R=7,K=64 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,X,222,S,7,C,1,K,64,R,7,Y,223,K,56,S,2,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] X=222,S=7,C=1,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,K,64,S,7,X,222,C,1,R,7,Y,223,K,56,K,1,S,2,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] K=64,S=7,X=222,C=1,R=7,Y=223 || L2:[sp=K,56] K=1,S=2,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,X,222,K,64,R,7,Y,223,K,56,S,2,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,161] C=1,S=7,X=222,K=64,R=7,Y=223 || L2:[sp=K,56] S=2,K=1,R=1,Y=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,R,7,X,222,K,64,S,7,Y,223,K,56,S,2,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=C,161] C=1,R=7,X=222,K=64,S=7,Y=223 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,C=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,C,1,S,7,Y,223,K,64,R,7,X,222,K,56,S,2,K,1,C,1,R,1,Y,1,X,1,"L1:[sp=C,161] C=1,S=7,Y=223,K=64,R=7,X=222 || L2:[sp=K,56] S=2,K=1,C=1,R=1,Y=1,X=1",-100.0,-163323000.0,1,C|K,1
C,161,Y,223,S,7,X,222,K,64,R,7,C,1,K,56,S,2,K,1,Y,1,R,1,X,1,C,1,"L1:[sp=C,161] Y=223,S=7,X=222,K=64,R=7,C=1 || L2:[sp=K,56] S=2,K=1,Y=1,R=1,X=1,C=1",-100.0,-163323000.0,1,C|K,1
