L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,95,S,1,K,1,R,1,C,1,Y,1,X,1,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=1,K=1,R=1,C=1,Y=1,X=1 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-7741441.0,-163323000.0,1,X|K,1
C,4,X,1,R,1,Y,1,S,1,K,1,C,1,X,84,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=C,4] X=1,R=1,Y=1,S=1,K=1,C=1 || L2:[sp=X,84] R=1,Y=1,K=1,S=1,X=1,C=1",-115605505.0,-163323000.0,1,C|X,1
X,12,S,1,K,24,Y,174,C,1,X,55,R,3,X,8,Y,1,C,1,S,1,R,1,K,1,X,1,"L1:[sp=X,12] S=1,K=24,Y=174,C=1,X=55,R=3 || L2:[sp=X,8] Y=1,C=1,S=1,R=1,K=1,X=1",-inf,-inf,0,X|X,1
C,138,C,2,Y,86,S,2,X,159,R,1,K,7,Y,56,X,1,C,1,S,1,K,1,R,1,Y,1,"L1:[sp=C,138] C=2,Y=86,S=2,X=159,R=1,K=7 || L2:[sp=Y,56] X=1,C=1,S=1,K=1,R=1,Y=1",-inf,-inf,0,C|Y,1
Y,39,R,2,K,22,S,2,Y,30,C,1,X,110,X,29,Y,1,K,1,C,1,R,1,X,1,S,1,"L1:[sp=Y,39] R=2,K=22,S=2,Y=30,C=1,X=110 || L2:[sp=X,29] Y=1,K=1,C=1,R=1,X=1,S=1",-inf,-inf,0,Y|X,1
C,153,Y,137,R,2,S,2,X,30,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=2,X=30,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-5323649.0,-163323000.0,1,C|Y,1
K,15,C,1,R,3,X,60,K,27,Y,223,S,2,Y,77,R,1,C,1,S,1,Y,1,X,1,K,1,"L1:[sp=K,15] C=1,R=3,X=60,K=27,Y=223,S=2 || L2:[sp=Y,77] R=1,C=1,S=1,Y=1,X=1,K=1",-inf,-inf,0,K|Y,1
K,41,K,48,X,128,Y,141,S,3,C,3,R,2,C,3,Y,1,R,1,X,1,S,1,C,1,K,1,"L1:[sp=K,41] K=48,X=128,Y=141,S=3,C=3,R=2 || L2:[sp=C,3] Y=1,R=1,X=1,S=1,C=1,K=1",-inf,-inf,0,K|C,1
X,81,Y,121,C,1,K,54,R,1,S,3,X,37,X,15,K,1,S,1,Y,1,R,1,X,1,C,1,"L1:[sp=X,81] Y=121,C=1,K=54,R=1,S=3,X=37 || L2:[sp=X,15] K=1,S=1,Y=1,R=1,X=1,C=1",-inf,-inf,0,X|X,1
X,49,S,3,R,3,X,204,C,1,Y,144,K,55,C,1,Y,1,R,1,S,1,X,1,C,1,K,1,"L1:[sp=X,49] S=3,R=3,X=204,C=1,Y=144,K=55 || L2:[sp=C,1] Y=1,R=1,S=1,X=1,C=1,K=1",-inf,-inf,0,X|C,1
K,105,X,89,K,63,C,3,S,2,Y,126,R,2,X,11,X,1,S,1,C,1,Y,1,R,1,K,1,"L1:[sp=K,105] X=89,K=63,C=3,S=2,Y=126,R=2 || L2:[sp=X,11] X=1,S=1,C=1,Y=1,R=1,K=1",-inf,-inf,0,K|X,1
X,85,C,3,Y,46,R,1,K,23,X,218,S,1,K,7,C,1,S,1,R,1,X,1,Y,1,K,1,"L1:[sp=X,85] C=3,Y=46,R=1,K=23,X=218,S=1 || L2:[sp=K,7] C=1,S=1,R=1,X=1,Y=1,K=1",-inf,-inf,0,X|K,1
K,106,C,1,R,3,S,2,Y,218,K,38,X,210,C,1,R,1,C,1,Y,1,S,1,K,1,X,1,"L1:[sp=K,106] C=1,R=3,S=2,Y=218,K=38,X=210 || L2:[sp=C,1] R=1,C=1,Y=1,S=1,K=1,X=1",-inf,-inf,0,K|C,1
Y,46,Y,4,C,2,K,40,S,2,X,92,R,2,Y,3,C,1,X,1,R,1,Y,1,S,1,K,1,"L1:[sp=Y,46] Y=4,C=2,K=40,S=2,X=92,R=2 || L2:[sp=Y,3] C=1,X=1,R=1,Y=1,S=1,K=1",-inf,-inf,0,Y|Y,1
X,67,K,64,S,2,C,3,X,110,Y,38,R,1,X,12,S,1,Y,1,C,1,K,1,X,1,R,1,"L1:[sp=X,67] K=64,S=2,C=3,X=110,Y=38,R=1 || L2:[sp=X,12] S=1,Y=1,C=1,K=1,X=1,R=1",-inf,-inf,0,X|X,1
X,34,K,14,Y,95,R,3,S,3,X,155,C,3,Y,17,X,1,K,1,R,1,S,1,Y,1,C,1,"L1:[sp=X,34] K=14,Y=95,R=3,S=3,X=155,C=3 || L2:[sp=Y,17] X=1,K=1,R=1,S=1,Y=1,C=1",-inf,-inf,0,X|Y,1
K,17,Y,39,K,59,X,113,S,1,R,2,C,2,C,1,R,1,K,1,Y,1,X,1,C,1,S,1,"L1:[sp=K,17] Y=39,K=59,X=113,S=1,R=2,C=2 || L2:[sp=C,1] R=1,K=1,Y=1,X=1,C=1,S=1",-inf,-inf,0,K|C,1
X,82,S,1,Y,16,X,138,K,50,R,2,C,2,K,49,K,1,R,1,C,1,X,1,S,1,Y,1,"L1:[sp=X,82] S=1,Y=16,X=138,K=50,R=2,C=2 || L2:[sp=K,49] K=1,R=1,C=1,X=1,S=1,Y=1",-inf,-inf,0,X|K,1
X,155,X,169,R,2,Y,19,C,3,K,9,S,2,K,2,K,1,S,1,R,1,C,1,Y,1,X,1,"L1:[sp=X,155] X=169,R=2,Y=19,C=3,K=9,S=2 || L2:[sp=K,2] K=1,S=1,R=1,C=1,Y=1,X=1",-38831785.0,-163324000.0,1,X|K,1
C,157,K,45,C,2,S,3,R,3,X,66,Y,90,X,12,S,1,C,1,Y,1,K,1,X,1,R,1,"L1:[sp=C,157] K=45,C=2,S=3,R=3,X=66,Y=90 || L2:[sp=X,12] S=1,C=1,Y=1,K=1,X=1,R=1",-inf,-inf,0,C|X,1
C,153,Y,137,R,2,S,2,X,30,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=2,X=30,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-5323649.0,-163323000.0,1,C|Y,1
X,95,S,1,K,1,R,1,C,2,Y,1,X,1,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=1,K=1,R=1,C=2,Y=1,X=1 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-6451201.0,-163323000.0,1,X|K,1
X,155,X,169,R,2,Y,19,C,3,K,43,S,2,K,2,K,1,S,1,R,1,C,1,Y,1,X,1,"L1:[sp=X,155] X=169,R=2,Y=19,C=3,K=43,S=2 || L2:[sp=K,2] K=1,S=1,R=1,C=1,Y=1,X=1",-inf,-inf,0,X|K,1
X,4,X,1,R,1,Y,1,S,1,K,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] X=1,R=1,Y=1,S=1,K=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-1548289.0,-163323000.0,1,X|C,1
Y,153,Y,137,R,2,S,2,X,30,C,2,K,3,Y,12,X,1,R,1,S,1,K,1,C,1,Y,1,"L1:[sp=Y,153] Y=137,R=2,S=2,X=30,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,S=1,K=1,C=1,Y=1",-4791425.0,-163323000.0,1,Y|Y,1
Y,153,Y,201,R,1,S,2,X,33,C,2,K,3,C,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=Y,153] Y=201,R=1,S=2,X=33,C=2,K=3 || L2:[sp=C,12] X=1,R=1,C=1,K=1,S=1,Y=1",-53258809.0,-163323000.0,1,Y|C,1
X,155,X,30,R,1,Y,19,C,3,K,9,S,2,X,3,K,1,S,1,R,1,C,1,Y,1,X,1,"L1:[sp=X,155] X=30,R=1,Y=19,C=3,K=9,S=2 || L2:[sp=X,3] K=1,S=1,R=1,C=1,Y=1,X=1",-4258369.0,-163324000.0,1,X|X,1
C,153,Y,137,R,2,S,2,X,30,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,Y,1,S,1,"L1:[sp=C,153] Y=137,R=2,S=2,X=30,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,Y=1,S=1",-2662529.0,-163323000.0,1,C|Y,1
C,4,X,1,R,1,Y,1,S,1,K,1,C,1,X,84,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=C,4] X=1,R=1,Y=1,S=1,K=1,C=1 || L2:[sp=X,84] R=1,Y=1,K=1,S=1,X=1,C=1",-115605505.0,-163323000.0,1,C|X,1
