L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,9,K,7,S,1,X,141,R,5,C,3,Y,223,X,84,C,1,S,1,K,6,X,1,Y,1,R,1,"L1:[sp=K,9] K=7,S=1,X=141,R=5,C=3,Y=223 || L2:[sp=X,84] C=1,S=1,K=6,X=1,Y=1,R=1",-12930.0,-163323000.0,1,K|X,1
K,9,K,7,S,1,X,141,R,5,C,3,Y,223,X,84,C,2,K,6,S,1,X,1,Y,1,R,1,"L1:[sp=K,9] K=7,S=1,X=141,R=5,C=3,Y=223 || L2:[sp=X,84] C=2,K=6,S=1,X=1,Y=1,R=1",-12930.0,-163323000.0,1,K|X,1
K,9,K,7,S,1,X,78,R,5,C,3,Y,223,X,84,Y,1,S,1,C,1,X,1,K,6,R,1,"L1:[sp=K,9] K=7,S=1,X=78,R=5,C=3,Y=223 || L2:[sp=X,84] Y=1,S=1,C=1,X=1,K=6,R=1",-13000.0,-163323000.0,1,K|X,1
K,9,R,6,C,1,X,141,S,2,K,29,Y,223,X,84,C,1,Y,1,K,8,X,1,R,1,S,1,"L1:[sp=K,9] R=6,C=1,X=141,S=2,K=29,Y=223 || L2:[sp=X,84] C=1,Y=1,K=8,X=1,R=1,S=1",-15091.0,-163323000.0,1,K|X,1
K,9,C,2,S,1,X,78,K,17,R,5,Y,223,X,84,Y,1,S,1,C,1,X,1,K,6,R,1,"L1:[sp=K,9] C=2,S=1,X=78,K=17,R=5,Y=223 || L2:[sp=X,84] Y=1,S=1,C=1,X=1,K=6,R=1",-15163.0,-163323000.0,1,K|X,1
K,9,R,5,C,2,S,3,Y,223,K,24,X,141,X,84,C,1,S,3,R,1,K,21,X,1,Y,1,"L1:[sp=K,9] R=5,C=2,S=3,Y=223,K=24,X=141 || L2:[sp=X,84] C=1,S=3,R=1,K=21,X=1,Y=1",-15358.0,-163323000.0,1,K|X,1
K,9,R,5,K,24,S,3,Y,223,C,2,X,141,X,84,C,1,S,3,R,1,K,21,X,1,Y,1,"L1:[sp=K,9] R=5,K=24,S=3,Y=223,C=2,X=141 || L2:[sp=X,84] C=1,S=3,R=1,K=21,X=1,Y=1",-15358.0,-163323000.0,1,K|X,1
K,9,R,6,X,141,C,3,S,2,K,28,Y,223,X,84,K,8,C,1,R,1,X,1,Y,1,S,1,"L1:[sp=K,9] R=6,X=141,C=3,S=2,K=28,Y=223 || L2:[sp=X,84] K=8,C=1,R=1,X=1,Y=1,S=1",-15909.0,-163323000.0,1,K|X,1
K,9,R,6,C,1,X,141,S,2,K,15,Y,223,X,84,C,1,R,1,K,8,X,1,Y,1,S,2,"L1:[sp=K,9] R=6,C=1,X=141,S=2,K=15,Y=223 || L2:[sp=X,84] C=1,R=1,K=8,X=1,Y=1,S=2",-18793.0,-163323000.0,1,K|X,1
C,9,X,141,R,5,K,40,Y,223,C,1,S,7,X,84,K,6,S,2,C,1,X,1,Y,1,R,1,"L1:[sp=C,9] X=141,R=5,K=40,Y=223,C=1,S=7 || L2:[sp=X,84] K=6,S=2,C=1,X=1,Y=1,R=1",-18833.0,-163323000.0,1,C|X,1
