L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,67,X,1,R,1,K,1,Y,1,S,1,C,1,Y,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=C,67] X=1,R=1,K=1,Y=1,S=1,C=1 || L2:[sp=Y,10] X=1,Y=1,C=1,S=1,R=1,K=1",-57802753.0,-163323000.0,1,C|Y,1
C,91,C,1,K,1,R,1,S,1,X,1,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] C=1,K=1,R=1,S=1,X=1,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-57802753.0,-163323000.0,1,C|Y,1
C,143,Y,216,X,83,C,1,R,3,K,32,S,2,Y,141,Y,1,C,1,S,1,K,1,R,1,X,1,"L1:[sp=C,143] Y=216,X=83,C=1,R=3,K=32,S=2 || L2:[sp=Y,141] Y=1,C=1,S=1,K=1,R=1,X=1",-inf,-inf,0,C|Y,1
X,118,K,6,R,2,C,1,S,2,X,216,Y,98,Y,33,Y,1,R,1,S,1,X,1,C,1,K,1,"L1:[sp=X,118] K=6,R=2,C=1,S=2,X=216,Y=98 || L2:[sp=Y,33] Y=1,R=1,S=1,X=1,C=1,K=1",-inf,-inf,0,X|Y,1
X,76,Y,29,K,10,R,1,C,3,S,3,X,224,K,3,Y,1,C,1,S,1,X,1,K,1,R,1,"L1:[sp=X,76] Y=29,K=10,R=1,C=3,S=3,X=224 || L2:[sp=K,3] Y=1,C=1,S=1,X=1,K=1,R=1",-inf,-inf,0,X|K,1
K,154,R,2,Y,102,C,2,X,44,S,2,K,49,C,1,K,1,X,1,R,1,Y,1,S,1,C,1,"L1:[sp=K,154] R=2,Y=102,C=2,X=44,S=2,K=49 || L2:[sp=C,1] K=1,X=1,R=1,Y=1,S=1,C=1",-inf,-inf,0,K|C,1
K,101,K,34,R,1,C,1,X,165,S,1,Y,165,C,1,R,1,S,1,K,1,X,1,C,1,Y,1,"L1:[sp=K,101] K=34,R=1,C=1,X=165,S=1,Y=165 || L2:[sp=C,1] R=1,S=1,K=1,X=1,C=1,Y=1",-inf,-inf,0,K|C,1
C,48,K,46,C,2,X,40,Y,87,S,1,R,1,K,16,R,1,K,1,C,1,Y,1,S,1,X,1,"L1:[sp=C,48] K=46,C=2,X=40,Y=87,S=1,R=1 || L2:[sp=K,16] R=1,K=1,C=1,Y=1,S=1,X=1",-inf,-inf,0,C|K,1
K,57,Y,8,C,1,S,2,R,1,K,6,X,214,K,3,R,1,K,1,C,1,Y,1,S,1,X,1,"L1:[sp=K,57] Y=8,C=1,S=2,R=1,K=6,X=214 || L2:[sp=K,3] R=1,K=1,C=1,Y=1,S=1,X=1",-inf,-inf,0,K|K,1
C,16,K,18,S,1,R,3,X,186,C,2,Y,213,C,1,X,1,C,1,R,1,Y,1,K,1,S,1,"L1:[sp=C,16] K=18,S=1,R=3,X=186,C=2,Y=213 || L2:[sp=C,1] X=1,C=1,R=1,Y=1,K=1,S=1",-inf,-inf,0,C|C,1
K,73,X,13,K,50,R,1,S,2,C,1,Y,150,Y,102,S,1,K,1,C,1,X,1,Y,1,R,1,"L1:[sp=K,73] X=13,K=50,R=1,S=2,C=1,Y=150 || L2:[sp=Y,102] S=1,K=1,C=1,X=1,Y=1,R=1",-inf,-inf,0,K|Y,1
Y,101,K,64,Y,76,C,3,R,2,X,39,S,1,Y,17,C,1,K,1,X,1,R,1,Y,1,S,1,"L1:[sp=Y,101] K=64,Y=76,C=3,R=2,X=39,S=1 || L2:[sp=Y,17] C=1,K=1,X=1,R=1,Y=1,S=1",-inf,-inf,0,Y|Y,1
X,28,K,6,C,1,X,67,R,2,S,1,Y,117,Y,55,S,1,X,1,R,1,C,1,K,1,Y,1,"L1:[sp=X,28] K=6,C=1,X=67,R=2,S=1,Y=117 || L2:[sp=Y,55] S=1,X=1,R=1,C=1,K=1,Y=1",-inf,-inf,0,X|Y,1
Y,128,Y,186,K,25,R,3,C,1,X,109,S,2,X,89,K,1,R,1,S,1,X,1,Y,1,C,1,"L1:[sp=Y,128] Y=186,K=25,R=3,C=1,X=109,S=2 || L2:[sp=X,89] K=1,R=1,S=1,X=1,Y=1,C=1",-inf,-inf,0,Y|X,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,2,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-47998279.0,-163323000.0,1,K|C,1
C,66,Y,100,K,59,R,3,X,145,S,2,C,2,C,2,R,1,Y,1,S,1,C,1,K,1,X,1,"L1:[sp=C,66] Y=100,K=59,R=3,X=145,S=2,C=2 || L2:[sp=C,2] R=1,Y=1,S=1,C=1,K=1,X=1",-inf,-inf,0,C|C,1
X,86,S,1,X,77,K,58,R,3,C,2,Y,122,X,20,S,1,K,1,Y,1,R,1,X,1,C,1,"L1:[sp=X,86] S=1,X=77,K=58,R=3,C=2,Y=122 || L2:[sp=X,20] S=1,K=1,Y=1,R=1,X=1,C=1",-inf,-inf,0,X|X,1
Y,63,X,36,S,3,K,32,Y,111,C,3,R,3,Y,82,K,1,C,1,S,1,X,1,Y,1,R,1,"L1:[sp=Y,63] X=36,S=3,K=32,Y=111,C=3,R=3 || L2:[sp=Y,82] K=1,C=1,S=1,X=1,Y=1,R=1",-inf,-inf,0,Y|Y,1
K,74,C,1,K,37,Y,146,S,2,R,3,X,79,Y,10,C,1,S,1,X,1,K,1,Y,1,R,1,"L1:[sp=K,74] C=1,K=37,Y=146,S=2,R=3,X=79 || L2:[sp=Y,10] C=1,S=1,X=1,K=1,Y=1,R=1",-inf,-inf,0,K|Y,1
Y,54,X,181,C,3,Y,63,K,36,R,1,S,1,C,2,C,1,X,1,S,1,R,1,Y,1,K,1,"L1:[sp=Y,54] X=181,C=3,Y=63,K=36,R=1,S=1 || L2:[sp=C,2] C=1,X=1,S=1,R=1,Y=1,K=1",-inf,-inf,0,Y|C,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,2,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-47998279.0,-163323000.0,1,K|C,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,2,C,1,Y,1,X,1,S,2,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=2,R=1,C=1,K=1",-57546055.0,-163323000.0,1,K|C,1
C,91,C,1,K,1,R,1,S,1,X,1,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] C=1,K=1,R=1,S=1,X=1,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-57802753.0,-163323000.0,1,C|Y,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,2,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-47998279.0,-163323000.0,1,K|C,1
Y,67,X,1,R,1,K,24,Y,1,S,1,C,1,C,10,R,1,Y,1,C,1,S,1,X,1,K,1,"L1:[sp=Y,67] X=1,R=1,K=24,Y=1,S=1,C=1 || L2:[sp=C,10] R=1,Y=1,C=1,S=1,X=1,K=1",-5673025.0,-163323000.0,1,Y|C,1
K,3,Y,1,R,1,X,1,C,1,K,32,S,1,C,1,Y,1,X,1,S,1,C,1,R,1,K,1,"L1:[sp=K,3] Y=1,R=1,X=1,C=1,K=32,S=1 || L2:[sp=C,1] Y=1,X=1,S=1,C=1,R=1,K=1",-44706817.0,-163323000.0,1,K|C,1
C,91,C,3,K,1,R,1,S,2,X,46,Y,85,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] C=3,K=1,R=1,S=2,X=46,Y=85 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-4339585.0,-163323000.0,1,C|Y,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,3,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=3 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-52642468.0,-163323000.0,1,K|C,1
C,91,R,1,K,1,C,1,S,2,X,1,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] R=1,K=1,C=1,S=2,X=1,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-76726273.0,-163323000.0,1,C|Y,1
K,3,Y,85,X,9,R,1,C,1,K,32,S,2,C,1,Y,1,X,1,S,1,R,1,C,1,K,16,"L1:[sp=K,3] Y=85,X=9,R=1,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=16",-47998279.0,-163323000.0,1,K|C,1
C,91,X,1,K,1,R,3,S,1,C,1,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] X=1,K=1,R=3,S=1,C=1,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-38191105.0,-163323000.0,1,C|Y,1
C,67,X,105,R,1,Y,1,K,1,S,1,C,2,Y,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=C,67] X=105,R=1,Y=1,K=1,S=1,C=2 || L2:[sp=Y,10] X=1,Y=1,C=1,S=1,R=1,K=1",-58189825.0,-163323000.0,1,C|Y,1
C,91,C,1,K,1,R,1,S,1,X,1,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] C=1,K=1,R=1,S=1,X=1,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-57802753.0,-163323000.0,1,C|Y,1
K,3,Y,85,S,2,X,9,C,1,K,34,R,1,C,1,Y,22,X,1,S,1,R,1,C,1,K,31,"L1:[sp=K,3] Y=85,S=2,X=9,C=1,K=34,R=1 || L2:[sp=C,1] Y=22,X=1,S=1,R=1,C=1,K=31",-inf,-inf,0,K|C,1
C,67,X,1,R,1,K,1,Y,1,S,1,C,1,Y,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=C,67] X=1,R=1,K=1,Y=1,S=1,C=1 || L2:[sp=Y,10] X=1,Y=1,C=1,S=1,R=1,K=1",-57802753.0,-163323000.0,1,C|Y,1
C,91,C,1,K,1,R,1,S,1,X,216,Y,1,Y,24,S,1,K,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] C=1,K=1,R=1,S=1,X=216,Y=1 || L2:[sp=Y,24] S=1,K=1,R=1,Y=1,C=1,X=1",-29159425.0,-163323000.0,1,C|Y,1
C,67,X,1,K,1,R,1,Y,1,S,1,C,1,Y,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=C,67] X=1,K=1,R=1,Y=1,S=1,C=1 || L2:[sp=Y,10] X=1,Y=1,C=1,S=1,R=1,K=1",-57802753.0,-163323000.0,1,C|Y,1
X,67,X,1,R,1,K,1,Y,1,S,1,C,1,Y,1,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=X,67] X=1,R=1,K=1,Y=1,S=1,C=1 || L2:[sp=Y,1] X=1,Y=1,C=1,S=1,R=1,K=1",-1548289.0,-163323000.0,1,X|Y,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,2,C,1,Y,76,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=2 || L2:[sp=C,1] Y=76,X=1,S=1,R=1,C=1,K=1",-38356039.0,-163324000.0,1,K|C,1
Y,67,X,9,R,1,K,1,Y,85,S,2,C,1,C,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=Y,67] X=9,R=1,K=1,Y=85,S=2,C=1 || L2:[sp=C,10] X=1,Y=1,C=1,S=1,R=1,K=1",-36455041.0,-163323000.0,1,Y|C,1
K,3,Y,1,X,1,R,1,C,1,K,32,S,1,C,1,C,1,X,1,S,1,R,1,Y,1,K,6,"L1:[sp=K,3] Y=1,X=1,R=1,C=1,K=32,S=1 || L2:[sp=C,1] C=1,X=1,S=1,R=1,Y=1,K=6",-44706817.0,-163323000.0,1,K|C,1
X,67,X,1,R,1,K,1,Y,1,S,1,C,1,Y,1,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=X,67] X=1,R=1,K=1,Y=1,S=1,C=1 || L2:[sp=Y,1] X=1,Y=1,C=1,S=1,R=1,K=1",-1548289.0,-163323000.0,1,X|Y,1
X,67,X,1,R,1,K,1,C,1,S,1,Y,1,Y,1,X,1,Y,1,C,1,K,1,R,1,S,1,"L1:[sp=X,67] X=1,R=1,K=1,C=1,S=1,Y=1 || L2:[sp=Y,1] X=1,Y=1,C=1,K=1,R=1,S=1",-1548289.0,-163323000.0,1,X|Y,1
Y,67,X,1,R,1,K,40,Y,1,S,1,C,1,C,10,R,1,Y,1,C,1,S,1,X,1,K,1,"L1:[sp=Y,67] X=1,R=1,K=40,Y=1,S=1,C=1 || L2:[sp=C,10] R=1,Y=1,C=1,S=1,X=1,K=1",-5588353.0,-163323000.0,1,Y|C,1
K,3,Y,1,R,1,X,1,C,1,K,32,S,2,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=1,R=1,X=1,C=1,K=32,S=2 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-87216193.0,-163323000.0,1,K|C,1
K,3,Y,85,R,1,X,9,C,1,K,32,S,1,C,1,Y,76,X,1,S,1,R,1,C,1,K,1,"L1:[sp=K,3] Y=85,R=1,X=9,C=1,K=32,S=1 || L2:[sp=C,1] Y=76,X=1,S=1,R=1,C=1,K=1",-34644970.0,-163324000.0,1,K|C,1
K,3,X,1,R,1,Y,1,S,1,K,32,C,1,C,1,Y,1,X,1,S,1,C,1,R,1,K,1,"L1:[sp=K,3] X=1,R=1,Y=1,S=1,K=32,C=1 || L2:[sp=C,1] Y=1,X=1,S=1,C=1,R=1,K=1",-44706817.0,-163323000.0,1,K|C,1
X,67,X,120,R,1,K,1,Y,1,S,1,C,1,Y,1,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=X,67] X=120,R=1,K=1,Y=1,S=1,C=1 || L2:[sp=Y,1] X=1,Y=1,C=1,S=1,R=1,K=1",-46835713.0,-163323000.0,1,X|Y,1
C,91,X,1,K,1,R,1,Y,61,C,1,S,2,Y,24,K,1,S,1,R,1,Y,1,C,1,X,1,"L1:[sp=C,91] X=1,K=1,R=1,Y=61,C=1,S=2 || L2:[sp=Y,24] K=1,S=1,R=1,Y=1,C=1,X=1",-3168385.0,-163323000.0,1,C|Y,1
Y,67,X,9,R,1,K,1,Y,85,S,2,C,1,C,10,X,1,Y,1,C,1,S,1,R,1,K,1,"L1:[sp=Y,67] X=9,R=1,K=1,Y=85,S=2,C=1 || L2:[sp=C,10] X=1,Y=1,C=1,S=1,R=1,K=1",-36455041.0,-163323000.0,1,Y|C,1
K,3,S,1,R,1,X,1,C,1,K,50,Y,1,C,1,Y,1,X,1,S,1,C,1,R,1,K,1,"L1:[sp=K,3] S=1,R=1,X=1,C=1,K=50,Y=1 || L2:[sp=C,1] Y=1,X=1,S=1,C=1,R=1,K=1",-69092353.0,-163323000.0,1,K|C,1
Y,67,X,1,R,1,K,24,Y,22,S,2,C,1,C,10,R,1,Y,1,C,1,S,1,X,1,K,1,"L1:[sp=Y,67] X=1,R=1,K=24,Y=22,S=2,C=1 || L2:[sp=C,10] R=1,Y=1,C=1,S=1,X=1,K=1",-16967179.0,-163323000.0,1,Y|C,1
