L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,927,X,1,R,1,S,1,C,1,K,1,Y,1,C,1,K,1,X,1,Y,1,R,1,S,1,C,1,"L1:[sp=X,927] X=1,R=1,S=1,C=1,K=1,Y=1 || L2:[sp=C,1] K=1,X=1,Y=1,R=1,S=1,C=1",-4214785.0,-4032880.0,1,X|C,1
X,738,X,1,Y,1,K,1,S,1,C,1,R,1,X,32,X,1,K,1,Y,1,C,1,S,1,R,1,"L1:[sp=X,738] X=1,Y=1,K=1,S=1,C=1,R=1 || L2:[sp=X,32] X=1,K=1,Y=1,C=1,S=1,R=1",-29503489.0,-2277010.0,1,X|X,1
C,322,X,2,K,6,S,2,C,1,Y,215,R,1,X,1,R,1,K,1,Y,1,S,1,X,1,C,1,"L1:[sp=C,322] X=2,K=6,S=2,C=1,Y=215,R=1 || L2:[sp=X,1] R=1,K=1,Y=1,S=1,X=1,C=1",-235394433.0,-436593.0,1,C|X,1
X,770,K,50,X,71,C,1,Y,133,R,2,S,6,C,1,K,1,X,1,C,1,S,1,R,1,Y,1,"L1:[sp=X,770] K=50,X=71,C=1,Y=133,R=2,S=6 || L2:[sp=C,1] K=1,X=1,C=1,S=1,R=1,Y=1",-160876897.0,-332302.0,1,X|C,1
X,416,X,213,S,4,R,1,C,1,K,48,Y,127,C,1,Y,1,C,1,X,1,R,1,S,1,K,1,"L1:[sp=X,416] X=213,S=4,R=1,C=1,K=48,Y=127 || L2:[sp=C,1] Y=1,C=1,X=1,R=1,S=1,K=1",-455196841.0,-586840.0,1,X|C,1
C,812,X,39,Y,90,K,24,S,1,R,2,C,2,K,13,S,1,R,1,Y,1,C,1,K,1,X,1,"L1:[sp=C,812] X=39,Y=90,K=24,S=1,R=2,C=2 || L2:[sp=K,13] S=1,R=1,Y=1,C=1,K=1,X=1",-29768425.0,-387285.0,1,C|K,1
K,673,R,1,S,7,Y,164,X,14,K,57,C,2,X,9,S,1,C,1,K,1,Y,1,R,1,X,1,"L1:[sp=K,673] R=1,S=7,Y=164,X=14,K=57,C=2 || L2:[sp=X,9] S=1,C=1,K=1,Y=1,R=1,X=1",-88214561.0,-201259.0,1,K|X,1
Y,353,S,4,K,4,Y,212,R,3,X,194,C,2,X,127,R,1,S,1,Y,1,C,1,X,1,K,1,"L1:[sp=Y,353] S=4,K=4,Y=212,R=3,X=194,C=2 || L2:[sp=X,127] R=1,S=1,Y=1,C=1,X=1,K=1",-6040321.0,-274420.0,1,Y|X,1
C,626,S,6,X,81,K,15,Y,174,C,1,R,7,Y,8,R,1,S,1,Y,1,X,1,K,1,C,1,"L1:[sp=C,626] S=6,X=81,K=15,Y=174,C=1,R=7 || L2:[sp=Y,8] R=1,S=1,Y=1,X=1,K=1,C=1",-22014781.0,-32153.4,1,C|Y,1
C,113,S,4,Y,172,R,1,C,1,X,8,K,6,C,1,C,1,S,1,Y,1,R,1,X,1,K,1,"L1:[sp=C,113] S=4,Y=172,R=1,C=1,X=8,K=6 || L2:[sp=C,1] C=1,S=1,Y=1,R=1,X=1,K=1",-214260145.0,-207235.0,1,C|C,1
