L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,575,S,3,R,2,Y,37,C,2,X,153,K,35,X,125,S,2,R,1,X,1,C,1,Y,27,K,32,"L1:[sp=Y,575] S=3,R=2,Y=37,C=2,X=153,K=35 || L2:[sp=X,125] S=2,R=1,X=1,C=1,Y=27,K=32",-636901.0,-341896.0,1,Y|X,1
Y,575,S,7,X,153,Y,37,C,3,R,5,K,35,X,125,C,2,R,2,X,1,K,32,Y,27,S,2,"L1:[sp=Y,575] S=7,X=153,Y=37,C=3,R=5,K=35 || L2:[sp=X,125] C=2,R=2,X=1,K=32,Y=27,S=2",-687087.0,-28248.1,1,Y|X,1
Y,575,S,3,X,153,Y,37,C,3,R,5,K,35,X,125,C,2,R,2,X,1,K,32,Y,27,S,2,"L1:[sp=Y,575] S=3,X=153,Y=37,C=3,R=5,K=35 || L2:[sp=X,125] C=2,R=2,X=1,K=32,Y=27,S=2",-687103.0,-84366.7,1,Y|X,1
Y,575,S,3,R,5,Y,37,C,3,X,153,K,35,X,125,C,2,R,2,X,1,K,32,Y,27,S,2,"L1:[sp=Y,575] S=3,R=5,Y=37,C=3,X=153,K=35 || L2:[sp=X,125] C=2,R=2,X=1,K=32,Y=27,S=2",-687103.0,-85902.5,1,Y|X,1
X,575,Y,139,C,1,X,21,S,2,R,2,K,46,Y,86,Y,2,K,45,S,1,R,2,X,17,C,1,"L1:[sp=X,575] Y=139,C=1,X=21,S=2,R=2,K=46 || L2:[sp=Y,86] Y=2,K=45,S=1,R=2,X=17,C=1",-695041.0,-661415.0,1,X|Y,1
X,575,X,9,C,2,Y,57,S,6,K,35,R,2,Y,74,C,1,Y,1,R,2,K,32,X,4,S,2,"L1:[sp=X,575] X=9,C=2,Y=57,S=6,K=35,R=2 || L2:[sp=Y,74] C=1,Y=1,R=2,K=32,X=4,S=2",-759041.0,-213939.0,1,X|Y,1
X,575,X,9,Y,207,S,1,C,2,K,57,R,2,Y,74,C,1,Y,1,R,2,K,1,X,4,S,1,"L1:[sp=X,575] X=9,Y=207,S=1,C=2,K=57,R=2 || L2:[sp=Y,74] C=1,Y=1,R=2,K=1,X=4,S=1",-774593.0,-746047.0,1,X|Y,1
Y,575,S,3,K,35,Y,37,C,3,R,6,X,153,X,125,C,2,R,2,X,1,K,32,Y,27,S,2,"L1:[sp=Y,575] S=3,K=35,Y=37,C=3,R=6,X=153 || L2:[sp=X,125] C=2,R=2,X=1,K=32,Y=27,S=2",-785257.0,-88882.3,1,Y|X,1
Y,575,S,3,K,35,Y,37,C,3,R,6,X,153,X,125,C,2,R,4,X,1,K,32,Y,27,S,2,"L1:[sp=Y,575] S=3,K=35,Y=37,C=3,R=6,X=153 || L2:[sp=X,125] C=2,R=4,X=1,K=32,Y=27,S=2",-785257.0,-88882.3,1,Y|X,1
X,575,X,9,Y,194,S,3,C,2,K,54,R,5,Y,74,C,1,X,3,R,2,K,1,Y,1,S,2,"L1:[sp=X,575] X=9,Y=194,S=3,C=2,K=54,R=5 || L2:[sp=Y,74] C=1,X=3,R=2,K=1,Y=1,S=2",-828001.0,-162477.0,1,X|Y,1
