L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,138,S,1,X,1,R,1,C,1,Y,1,K,1,X,83,X,1,Y,1,K,1,C,1,S,1,R,1,"L1:[sp=C,138] S=1,X=1,R=1,C=1,Y=1,K=1 || L2:[sp=X,83] X=1,Y=1,K=1,C=1,S=1,R=1",-115605505.0,-163323000.0,1,C|X,1
C,81,R,1,S,1,C,1,Y,1,X,1,K,1,X,110,S,1,K,1,X,1,R,1,Y,1,C,1,"L1:[sp=C,81] R=1,S=1,C=1,Y=1,X=1,K=1 || L2:[sp=X,110] S=1,K=1,X=1,R=1,Y=1,C=1",-173408257.0,-163323000.0,1,C|X,1
X,168,Y,62,K,25,X,20,S,3,C,3,R,3,Y,53,R,1,Y,1,C,1,X,1,S,1,K,1,"L1:[sp=X,168] Y=62,K=25,X=20,S=3,C=3,R=3 || L2:[sp=Y,53] R=1,Y=1,C=1,X=1,S=1,K=1",-inf,-inf,0,X|Y,1
K,104,X,94,C,3,S,1,Y,201,R,2,K,42,C,3,X,1,C,1,S,1,K,1,Y,1,R,1,"L1:[sp=K,104] X=94,C=3,S=1,Y=201,R=2,K=42 || L2:[sp=C,3] X=1,C=1,S=1,K=1,Y=1,R=1",-inf,-inf,0,K|C,1
X,133,C,1,X,127,Y,157,S,2,R,3,K,45,C,1,Y,1,R,1,C,1,S,1,K,1,X,1,"L1:[sp=X,133] C=1,X=127,Y=157,S=2,R=3,K=45 || L2:[sp=C,1] Y=1,R=1,C=1,S=1,K=1,X=1",-inf,-inf,0,X|C,1
Y,14,K,60,C,2,Y,59,R,1,X,190,S,2,X,34,C,1,R,1,Y,1,X,1,K,1,S,1,"L1:[sp=Y,14] K=60,C=2,Y=59,R=1,X=190,S=2 || L2:[sp=X,34] C=1,R=1,Y=1,X=1,K=1,S=1",-inf,-inf,0,Y|X,1
C,80,C,2,X,174,S,2,Y,139,R,1,K,29,Y,23,K,1,C,1,R,1,Y,1,S,1,X,1,"L1:[sp=C,80] C=2,X=174,S=2,Y=139,R=1,K=29 || L2:[sp=Y,23] K=1,C=1,R=1,Y=1,S=1,X=1",-inf,-inf,0,C|Y,1
K,63,R,3,K,43,C,2,X,192,Y,67,S,3,X,81,R,1,S,1,K,1,X,1,C,1,Y,1,"L1:[sp=K,63] R=3,K=43,C=2,X=192,Y=67,S=3 || L2:[sp=X,81] R=1,S=1,K=1,X=1,C=1,Y=1",-inf,-inf,0,K|X,1
C,69,S,1,C,3,K,21,R,2,X,152,Y,193,K,16,X,1,C,1,K,1,Y,1,R,1,S,1,"L1:[sp=C,69] S=1,C=3,K=21,R=2,X=152,Y=193 || L2:[sp=K,16] X=1,C=1,K=1,Y=1,R=1,S=1",-inf,-inf,0,C|K,1
K,96,K,17,C,1,Y,127,R,2,S,1,X,150,K,14,R,1,Y,1,C,1,S,1,K,1,X,1,"L1:[sp=K,96] K=17,C=1,Y=127,R=2,S=1,X=150 || L2:[sp=K,14] R=1,Y=1,C=1,S=1,K=1,X=1",-inf,-inf,0,K|K,1
