L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,32,S,1,Y,73,C,1,K,44,X,2,R,7,Y,40,K,21,C,1,R,1,Y,1,X,2,S,1,"L1:[sp=X,32] S=1,Y=73,C=1,K=44,X=2,R=7 || L2:[sp=Y,40] K=21,C=1,R=1,Y=1,X=2,S=1",-2275561.0,-163323000.0,1,X|Y,1
X,32,X,2,C,1,Y,40,K,44,S,1,R,1,Y,40,C,1,R,1,X,2,Y,1,K,21,S,1,"L1:[sp=X,32] X=2,C=1,Y=40,K=44,S=1,R=1 || L2:[sp=Y,40] C=1,R=1,X=2,Y=1,K=21,S=1",-2321425.0,-163323000.0,1,X|Y,1
X,32,S,1,Y,73,C,1,K,23,R,7,X,2,Y,40,K,21,R,1,C,1,Y,1,X,2,S,1,"L1:[sp=X,32] S=1,Y=73,C=1,K=23,R=7,X=2 || L2:[sp=Y,40] K=21,R=1,C=1,Y=1,X=2,S=1",-2376109.0,-163323000.0,1,X|Y,1
X,32,S,1,R,7,C,1,K,23,Y,73,X,2,Y,40,K,21,R,1,C,1,Y,1,X,2,S,1,"L1:[sp=X,32] S=1,R=7,C=1,K=23,Y=73,X=2 || L2:[sp=Y,40] K=21,R=1,C=1,Y=1,X=2,S=1",-2376109.0,-163323000.0,1,X|Y,1
X,32,S,1,X,2,C,1,K,23,Y,73,R,7,Y,40,K,21,C,1,R,1,Y,1,X,2,S,1,"L1:[sp=X,32] S=1,X=2,C=1,K=23,Y=73,R=7 || L2:[sp=Y,40] K=21,C=1,R=1,Y=1,X=2,S=1",-2376109.0,-163323000.0,1,X|Y,1
X,32,X,2,Y,73,C,1,K,44,S,1,R,4,Y,40,C,1,R,1,X,2,Y,1,K,21,S,1,"L1:[sp=X,32] X=2,Y=73,C=1,K=44,S=1,R=4 || L2:[sp=Y,40] C=1,R=1,X=2,Y=1,K=21,S=1",-2660113.0,-163323000.0,1,X|Y,1
X,32,C,1,Y,73,X,2,K,44,S,1,R,1,Y,40,K,21,R,1,C,1,Y,1,X,2,S,1,"L1:[sp=X,32] C=1,Y=73,X=2,K=44,S=1,R=1 || L2:[sp=Y,40] K=21,R=1,C=1,Y=1,X=2,S=1",-2683633.0,-163323000.0,1,X|Y,1
X,32,C,1,Y,73,X,2,K,44,S,1,R,1,Y,40,K,21,X,2,C,1,Y,1,R,1,S,1,"L1:[sp=X,32] C=1,Y=73,X=2,K=44,S=1,R=1 || L2:[sp=Y,40] K=21,X=2,C=1,Y=1,R=1,S=1",-2683633.0,-163323000.0,1,X|Y,1
X,32,S,1,Y,73,X,2,R,1,C,1,K,44,Y,40,K,21,R,1,C,1,Y,1,X,2,S,1,"L1:[sp=X,32] S=1,Y=73,X=2,R=1,C=1,K=44 || L2:[sp=Y,40] K=21,R=1,C=1,Y=1,X=2,S=1",-2683633.0,-163323000.0,1,X|Y,1
X,32,X,2,Y,73,C,1,K,44,S,1,R,1,Y,40,C,1,R,1,X,2,Y,1,K,21,S,1,"L1:[sp=X,32] X=2,Y=73,C=1,K=44,S=1,R=1 || L2:[sp=Y,40] C=1,R=1,X=2,Y=1,K=21,S=1",-2683633.0,-163323000.0,1,X|Y,1
