L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,56,Y,1,X,1,S,1,C,1,K,1,R,1,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=1,X=1,S=1,C=1,K=1,R=1 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-86704129.0,-163323000.0,1,X|X,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-1548289.0,-163323000.0,1,X|C,1
K,35,K,3,R,1,Y,61,C,1,S,1,X,21,K,2,Y,1,X,1,R,1,K,1,S,1,C,1,"L1:[sp=K,35] K=3,R=1,Y=61,C=1,S=1,X=21 || L2:[sp=K,2] Y=1,X=1,R=1,K=1,S=1,C=1",-inf,-inf,0,K|K,1
C,55,C,3,K,63,S,2,R,3,X,171,Y,7,X,86,X,1,R,1,Y,1,C,1,K,1,S,1,"L1:[sp=C,55] C=3,K=63,S=2,R=3,X=171,Y=7 || L2:[sp=X,86] X=1,R=1,Y=1,C=1,K=1,S=1",-inf,-inf,0,C|X,1
Y,22,K,11,C,1,S,3,R,3,Y,158,X,159,K,7,S,1,C,1,X,1,K,1,Y,1,R,1,"L1:[sp=Y,22] K=11,C=1,S=3,R=3,Y=158,X=159 || L2:[sp=K,7] S=1,C=1,X=1,K=1,Y=1,R=1",-inf,-inf,0,Y|K,1
Y,44,C,3,X,110,S,2,Y,207,R,1,K,59,K,2,X,1,Y,1,K,1,R,1,C,1,S,1,"L1:[sp=Y,44] C=3,X=110,S=2,Y=207,R=1,K=59 || L2:[sp=K,2] X=1,Y=1,K=1,R=1,C=1,S=1",-inf,-inf,0,Y|K,1
C,160,X,2,S,2,C,2,Y,34,K,51,R,3,Y,22,K,1,Y,1,S,1,X,1,C,1,R,1,"L1:[sp=C,160] X=2,S=2,C=2,Y=34,K=51,R=3 || L2:[sp=Y,22] K=1,Y=1,S=1,X=1,C=1,R=1",-5020097.0,-163323000.0,1,C|Y,1
C,50,X,49,C,3,S,1,K,40,Y,121,R,1,X,44,R,1,K,1,X,1,Y,1,C,1,S,1,"L1:[sp=C,50] X=49,C=3,S=1,K=40,Y=121,R=1 || L2:[sp=X,44] R=1,K=1,X=1,Y=1,C=1,S=1",-inf,-inf,0,C|X,1
Y,146,C,2,Y,180,R,3,S,2,X,111,K,58,K,43,S,1,C,1,X,1,Y,1,R,1,K,1,"L1:[sp=Y,146] C=2,Y=180,R=3,S=2,X=111,K=58 || L2:[sp=K,43] S=1,C=1,X=1,Y=1,R=1,K=1",-inf,-inf,0,Y|K,1
X,44,K,27,R,3,X,209,S,2,Y,126,C,3,C,2,S,1,Y,1,K,1,C,1,X,1,R,1,"L1:[sp=X,44] K=27,R=3,X=209,S=2,Y=126,C=3 || L2:[sp=C,2] S=1,Y=1,K=1,C=1,X=1,R=1",-inf,-inf,0,X|C,1
