L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
C,52,X,1,R,1,K,1,Y,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=C,52] X=1,R=1,K=1,Y=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-314703873.0,-163323000.0,1,C|K,1
X,29,Y,185,S,2,X,48,K,14,R,1,C,2,Y,107,Y,1,S,1,R,1,K,1,C,1,X,1,"L1:[sp=X,29] Y=185,S=2,X=48,K=14,R=1,C=2 || L2:[sp=Y,107] Y=1,S=1,R=1,K=1,C=1,X=1",-inf,-inf,0,X|Y,1
Y,110,K,11,X,145,C,2,S,6,R,4,Y,57,X,69,X,1,C,1,Y,1,R,1,S,1,K,1,"L1:[sp=Y,110] K=11,X=145,C=2,S=6,R=4,Y=57 || L2:[sp=X,69] X=1,C=1,Y=1,R=1,S=1,K=1",-inf,-inf,0,Y|X,1
K,135,C,1,K,63,S,6,R,5,X,95,Y,139,X,32,R,1,X,1,S,1,C,1,K,1,Y,1,"L1:[sp=K,135] C=1,K=63,S=6,R=5,X=95,Y=139 || L2:[sp=X,32] R=1,X=1,S=1,C=1,K=1,Y=1",-inf,-inf,0,K|X,1
K,79,S,5,K,60,X,90,C,2,Y,172,R,6,Y,36,S,1,Y,1,K,1,R,1,C,1,X,1,"L1:[sp=K,79] S=5,K=60,X=90,C=2,Y=172,R=6 || L2:[sp=Y,36] S=1,Y=1,K=1,R=1,C=1,X=1",-inf,-inf,0,K|Y,1
Y,10,C,3,K,62,X,8,R,1,S,5,Y,54,C,3,C,1,S,1,R,1,X,1,Y,1,K,1,"L1:[sp=Y,10] C=3,K=62,X=8,R=1,S=5,Y=54 || L2:[sp=C,3] C=1,S=1,R=1,X=1,Y=1,K=1",-inf,-inf,0,Y|C,1
C,34,X,184,S,1,Y,206,R,4,K,56,C,3,Y,92,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=C,34] X=184,S=1,Y=206,R=4,K=56,C=3 || L2:[sp=Y,92] X=1,C=1,S=1,Y=1,K=1,R=1",-inf,-inf,0,C|Y,1
K,65,X,18,R,4,Y,179,K,15,C,1,S,3,K,7,S,1,K,1,Y,1,R,1,C,1,X,1,"L1:[sp=K,65] X=18,R=4,Y=179,K=15,C=1,S=3 || L2:[sp=K,7] S=1,K=1,Y=1,R=1,C=1,X=1",-inf,-inf,0,K|K,1
K,15,K,7,S,1,Y,34,X,20,C,3,R,7,K,7,K,1,C,1,X,1,S,1,Y,1,R,1,"L1:[sp=K,15] K=7,S=1,Y=34,X=20,C=3,R=7 || L2:[sp=K,7] K=1,C=1,X=1,S=1,Y=1,R=1",-8561869.0,-163324000.0,1,K|K,1
K,41,Y,27,R,7,S,1,K,20,C,2,X,178,K,17,K,1,C,1,Y,1,S,1,X,1,R,1,"L1:[sp=K,41] Y=27,R=7,S=1,K=20,C=2,X=178 || L2:[sp=K,17] K=1,C=1,Y=1,S=1,X=1,R=1",-inf,-inf,0,K|K,1
C,168,X,49,K,44,C,1,R,5,Y,146,S,2,C,1,S,1,R,1,C,1,Y,1,X,1,K,1,"L1:[sp=C,168] X=49,K=44,C=1,R=5,Y=146,S=2 || L2:[sp=C,1] S=1,R=1,C=1,Y=1,X=1,K=1",-inf,-inf,0,C|C,1
Y,114,Y,112,S,4,C,3,X,128,K,54,R,3,X,96,S,1,X,1,K,1,C,1,R,1,Y,1,"L1:[sp=Y,114] Y=112,S=4,C=3,X=128,K=54,R=3 || L2:[sp=X,96] S=1,X=1,K=1,C=1,R=1,Y=1",-inf,-inf,0,Y|X,1
