L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,350,R,7,S,7,X,222,K,11,C,3,Y,221,K,11,R,7,X,1,K,1,S,7,C,3,Y,1,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=221 || L2:[sp=K,11] R=7,X=1,K=1,S=7,C=3,Y=1",-889.0,-729.466,1,Y|K,1
Y,350,R,7,S,7,X,222,K,11,C,3,Y,221,K,11,R,7,X,1,K,1,S,7,C,2,Y,1,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=221 || L2:[sp=K,11] R=7,X=1,K=1,S=7,C=2,Y=1",-889.0,-729.466,1,Y|K,1
Y,350,R,7,S,7,C,3,K,11,X,222,Y,221,K,11,R,7,X,1,K,1,S,7,C,3,Y,1,"L1:[sp=Y,350] R=7,S=7,C=3,K=11,X=222,Y=221 || L2:[sp=K,11] R=7,X=1,K=1,S=7,C=3,Y=1",-889.0,-729.466,1,Y|K,1
Y,350,R,7,S,7,X,222,K,11,C,3,Y,1,K,11,R,7,K,1,C,3,S,7,X,1,Y,1,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=1 || L2:[sp=K,11] R=7,K=1,C=3,S=7,X=1,Y=1",-2665.0,-525.056,1,Y|K,1
Y,350,X,222,S,7,R,7,K,11,C,3,Y,1,K,11,S,7,K,1,C,2,R,7,X,1,Y,1,"L1:[sp=Y,350] X=222,S=7,R=7,K=11,C=3,Y=1 || L2:[sp=K,11] S=7,K=1,C=2,R=7,X=1,Y=1",-2665.0,-525.056,1,Y|K,1
Y,350,R,7,S,7,X,222,K,11,C,3,Y,1,K,11,R,7,C,3,K,1,S,7,Y,1,X,1,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=1 || L2:[sp=K,11] R=7,C=3,K=1,S=7,Y=1,X=1",-2665.0,-525.056,1,Y|K,1
Y,350,R,7,S,7,X,222,K,11,C,3,Y,1,K,11,R,7,K,1,S,7,C,3,X,1,Y,1,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=1 || L2:[sp=K,11] R=7,K=1,S=7,C=3,X=1,Y=1",-2665.0,-525.056,1,Y|K,1
Y,350,R,7,S,7,X,222,K,11,C,3,Y,1,K,11,R,7,X,1,K,1,S,7,Y,1,C,3,"L1:[sp=Y,350] R=7,S=7,X=222,K=11,C=3,Y=1 || L2:[sp=K,11] R=7,X=1,K=1,S=7,Y=1,C=3",-2665.0,-525.056,1,Y|K,1
Y,350,R,7,S,7,Y,1,K,11,C,3,X,222,K,11,R,7,X,1,K,1,S,7,Y,1,C,3,"L1:[sp=Y,350] R=7,S=7,Y=1,K=11,C=3,X=222 || L2:[sp=K,11] R=7,X=1,K=1,S=7,Y=1,C=3",-2665.0,-576.6759999999999,1,Y|K,1
Y,350,R,7,S,7,Y,1,K,11,C,3,X,222,K,11,R,7,K,1,X,1,S,7,Y,1,C,3,"L1:[sp=Y,350] R=7,S=7,Y=1,K=11,C=3,X=222 || L2:[sp=K,11] R=7,K=1,X=1,S=7,Y=1,C=3",-2665.0,-576.6759999999999,1,Y|K,1
